HOME,DRAW,AWAY,HASIL
2,3.6,3.6,A
13,8,1.18,A
1.45,4.75,6.5,D
3.6,3.6,2.05,H
2.45,3.5,2.8,A
1.33,5.75,7.5,H
2.62,3.5,2.62,H
1.65,4.33,4.75,A
1.66,4,4.75,H
1.95,4,3.5,D
4,4,1.8,A
1.7,3.8,5,D
6.5,5.5,1.36,A
1.28,6,8.5,A
1.53,4.2,6,H
2.15,3.75,3,A
2.8,3.75,2.37,H
1.8,3.9,4.2,D
2.2,3.6,3.1,H
1.33,5.5,8.5,H
2.9,3.5,2.4,H
5.25,4.5,1.57,H
1.44,4.75,6.5,H
1.95,3.75,3.75,H
2.15,3.5,3.3,H
1.53,4.5,5.75,A
1.8,4,4.2,A
1.14,9,15,H
4.2,3.9,1.8,H
2,3.6,3.6,H
5,4.33,1.6,A
2.8,3.75,2.37,D
7,4.75,1.44,A
2.7,3.4,2.6,H
1.9,3.75,3.6,H
1.75,4.2,4.2,A
1.75,4.2,4.2,H
2.1,3.8,3.2,D
2.37,3.5,2.9,A
1.5,4.33,6.5,A
1.75,3.8,4.75,A
10,7.5,1.22,A
1.33,6,7.5,H
2.3,3.4,3.1,D
3.6,4,1.9,H
1.14,8.5,17,H
2.05,3.75,3.4,H
3.8,4,1.83,A
1.25,6.5,11,H
1.65,3.8,5.5,D
3.1,3.7,2.2,D
2.75,3.25,2.62,H
3.4,4,2,H
2.62,3.6,2.55,H
4.75,4.33,1.65,A
2.75,3.4,2.55,H
2.75,3.5,2.5,A
2.4,3.6,2.8,A
2.2,3.4,3.25,A
1.25,6,11,H
10,5.75,1.3,A
5,4.5,1.6,A
1.28,6,9,H
4,4.33,1.75,H
1.75,4.2,4.2,A
1.5,4.5,6.5,H
2.05,3.6,3.4,H
1.8,3.75,4.33,A
1.16,8.5,13,H
2.37,3.6,2.8,A
1.36,5.25,7,H
2.7,3.4,2.6,D
2.05,3.7,3.4,H
1.22,6.5,11,H
3.5,3.6,2.05,D
3.2,3.8,2.1,H
12,7.5,1.2,A
1.5,4.5,5.75,D
2.05,3.6,3.5,H
3.8,4,1.85,A
1.9,3.75,3.8,H
2.5,3.6,2.62,H
2,3.5,3.75,A
